age,workclass,education,capital-gain-category,hours-per-week,occupation,income
25.0,Private,Some-college,cat1,40.0,Exec-managerial,<=50K
18.0,Private,HS-grad,cat1,30.0,Other-service,<=50K
47.0,Private,Prof-school,cat1,60.0,Prof-specialty,>50K
50.0,Federal-gov,Bachelors,cat1,,Exec-managerial,>50K
47.0,Self-emp-inc,HS-grad,cat1,60.0,Exec-managerial,<=50K
43.0,Private,Some-college,cat1,40.0,Tech-support,>50K
46.0,Private,5th-6th,cat1,40.0,Machine-op-inspct,<=50K
35.0,Private,Assoc-voc,cat1,40.0,Other-service,<=50K
41.0,Private,HS-grad,cat1,48.0,Adm-clerical,<=50K
,Private,HS-grad,cat2,40.0,Machine-op-inspct,<=50K
30.0,Private,Bachelors,,40.0,Sales,<=50K
32.0,?,7th-8th,,40.0,?,<=50K
48.0,Private,HS-grad,cat1,40.0,Transport-moving,<=50K
42.0,Private,Doctorate,cat1,45.0,Prof-specialty,>50K
29.0,Private,,cat1,58.0,Tech-support,<=50K
36.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
28.0,Private,Some-college,,40.0,Adm-clerical,<=50K
53.0,Private,HS-grad,cat1,40.0,Adm-clerical,>50K
49.0,Self-emp-inc,Some-college,,50.0,Exec-managerial,>50K
25.0,?,Some-college,cat1,40.0,?,<=50K
19.0,Private,Some-college,cat1,32.0,Prof-specialty,<=50K
31.0,Private,Bachelors,cat1,40.0,Sales,<=50K
29.0,Self-emp-not-inc,Bachelors,,70.0,Sales,>50K
23.0,Private,Some-college,,40.0,Machine-op-inspct,<=50K
79.0,Private,Some-college,,20.0,Prof-specialty,<=50K
27.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
40.0,Private,Assoc-acdm,,40.0,Adm-clerical,<=50K
67.0,?,10th,,2.0,?,<=50K
18.0,Private,11th,cat1,22.0,Other-service,<=50K
31.0,Local-gov,7th-8th,cat1,40.0,Farming-fishing,<=50K
18.0,Private,HS-grad,cat1,30.0,Sales,<=50K
52.0,Private,Bachelors,cat1,40.0,Other-service,<=50K
,Private,HS-grad,cat1,40.0,Other-service,<=50K
59.0,,HS-grad,cat1,48.0,Sales,<=50K
,Private,HS-grad,,40.0,Craft-repair,>50K
53.0,Private,HS-grad,cat1,35.0,Sales,<=50K
49.0,Local-gov,HS-grad,cat1,40.0,Protective-serv,>50K
33.0,Private,,cat1,50.0,Prof-specialty,<=50K
30.0,Private,9th,,40.0,Sales,<=50K
43.0,Federal-gov,Doctorate,,50.0,Prof-specialty,>50K
57.0,Private,Assoc-voc,cat1,40.0,,<=50K
37.0,Private,Some-college,cat1,40.0,Craft-repair,<=50K
28.0,Private,Some-college,cat1,,Machine-op-inspct,<=50K
30.0,,HS-grad,cat1,35.0,Sales,<=50K
34.0,Local-gov,Bachelors,cat1,40.0,,>50K
29.0,Local-gov,Some-college,cat1,50.0,Handlers-cleaners,<=50K
48.0,Self-emp-not-inc,Doctorate,cat1,60.0,Prof-specialty,>50K
37.0,Private,Some-college,cat1,48.0,Sales,>50K
48.0,Private,Assoc-acdm,cat1,40.0,Exec-managerial,<=50K
32.0,Federal-gov,HS-grad,,40.0,Other-service,<=50K
76.0,Private,Masters,cat1,40.0,Exec-managerial,>50K
44.0,Private,Bachelors,cat4,60.0,,>50K
47.0,Self-emp-not-inc,Masters,cat1,50.0,Prof-specialty,<=50K
20.0,Private,Some-college,cat1,,Tech-support,<=50K
29.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
32.0,Self-emp-inc,HS-grad,cat2,40.0,Craft-repair,>50K
17.0,?,10th,cat4,32.0,?,<=50K
30.0,Private,11th,,40.0,Handlers-cleaners,<=50K
31.0,Local-gov,HS-grad,cat1,40.0,Adm-clerical,<=50K
,Private,HS-grad,cat1,40.0,Handlers-cleaners,<=50K
24.0,Private,Bachelors,cat1,40.0,Sales,<=50K
38.0,Private,,cat1,40.0,Prof-specialty,>50K
56.0,Self-emp-not-inc,HS-grad,cat1,50.0,Other-service,>50K
28.0,Private,Some-college,,25.0,Sales,<=50K
36.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
53.0,Private,9th,,50.0,Handlers-cleaners,<=50K
56.0,Self-emp-inc,Some-college,cat1,50.0,Sales,<=50K
49.0,Local-gov,Assoc-voc,cat1,40.0,Craft-repair,>50K
55.0,Private,Some-college,cat1,56.0,Sales,<=50K
22.0,Private,HS-grad,cat1,41.0,Craft-repair,<=50K
21.0,Private,Some-college,,40.0,Other-service,<=50K
40.0,Private,Bachelors,cat1,60.0,Exec-managerial,<=50K
30.0,Private,,cat1,40.0,Exec-managerial,<=50K
29.0,State-gov,Bachelors,cat1,,Prof-specialty,>50K
19.0,Private,Some-college,cat1,35.0,Other-service,<=50K
47.0,Private,Bachelors,cat1,40.0,Exec-managerial,>50K
20.0,Private,Some-college,cat1,28.0,,<=50K
31.0,Private,Assoc-acdm,cat1,40.0,Adm-clerical,>50K
35.0,?,HS-grad,cat1,40.0,,<=50K
39.0,Private,Some-college,cat1,40.0,Craft-repair,<=50K
28.0,Private,Assoc-acdm,cat1,60.0,Sales,<=50K
24.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
38.0,Self-emp-not-inc,HS-grad,cat2,35.0,Craft-repair,<=50K
37.0,,Bachelors,cat1,50.0,Sales,<=50K
46.0,Private,Assoc-acdm,cat1,36.0,Tech-support,<=50K
38.0,Federal-gov,Masters,cat1,40.0,Prof-specialty,>50K
43.0,Self-emp-not-inc,HS-grad,cat1,60.0,Craft-repair,<=50K
27.0,Private,Assoc-voc,cat1,35.0,Adm-clerical,<=50K
20.0,Private,Some-college,cat1,20.0,Sales,<=50K
49.0,Private,Some-college,,40.0,Craft-repair,>50K
61.0,Self-emp-inc,HS-grad,cat1,40.0,Craft-repair,<=50K
27.0,Private,Some-college,cat1,40.0,Sales,<=50K
19.0,Private,Some-college,cat1,30.0,Other-service,<=50K
45.0,Private,Assoc-voc,cat1,40.0,Prof-specialty,>50K
70.0,Private,Some-college,cat1,40.0,Tech-support,<=50K
31.0,Private,HS-grad,cat1,30.0,Transport-moving,<=50K
22.0,Private,Some-college,,24.0,Other-service,<=50K
36.0,Private,HS-grad,,24.0,Other-service,<=50K
64.0,Private,11th,cat1,40.0,,<=50K
43.0,?,Some-college,cat1,40.0,?,<=50K
47.0,Local-gov,Some-college,,38.0,Adm-clerical,<=50K
34.0,,HS-grad,,40.0,Adm-clerical,<=50K
33.0,Private,Bachelors,cat1,40.0,Exec-managerial,<=50K
21.0,Private,HS-grad,cat1,35.0,Craft-repair,<=50K
52.0,?,HS-grad,cat1,45.0,?,>50K
48.0,Private,HS-grad,cat1,46.0,,<=50K
23.0,Private,Bachelors,cat1,40.0,Handlers-cleaners,<=50K
71.0,Self-emp-not-inc,Some-college,cat1,2.0,Sales,<=50K
29.0,Private,HS-grad,cat1,60.0,Craft-repair,<=50K
42.0,Private,Bachelors,,50.0,Other-service,<=50K
68.0,?,1st-4th,cat1,20.0,?,<=50K
25.0,Private,HS-grad,cat1,40.0,,<=50K
44.0,Self-emp-inc,Masters,cat1,40.0,Exec-managerial,<=50K
28.0,Private,HS-grad,cat1,40.0,Exec-managerial,<=50K
45.0,Self-emp-not-inc,Masters,cat1,40.0,,>50K
36.0,Private,Some-college,,,Other-service,<=50K
39.0,Federal-gov,Assoc-acdm,cat1,42.0,Exec-managerial,<=50K
46.0,State-gov,Masters,cat1,40.0,Protective-serv,<=50K
18.0,Private,11th,cat1,16.0,Handlers-cleaners,<=50K
66.0,Local-gov,Assoc-voc,cat1,,Prof-specialty,<=50K
27.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
28.0,State-gov,HS-grad,cat1,40.0,Protective-serv,<=50K
51.0,Private,Some-college,cat1,40.0,Sales,>50K
27.0,,Bachelors,cat1,50.0,Craft-repair,<=50K
28.0,State-gov,Bachelors,cat1,40.0,Prof-specialty,>50K
,Private,HS-grad,cat1,25.0,Sales,<=50K
21.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
34.0,Private,HS-grad,cat1,40.0,Handlers-cleaners,<=50K
18.0,Private,HS-grad,cat1,12.0,Other-service,<=50K
33.0,Private,Bachelors,cat1,65.0,Prof-specialty,<=50K
44.0,Local-gov,Some-college,,38.0,Exec-managerial,>50K
43.0,Private,Some-college,cat1,40.0,,<=50K
30.0,Private,Some-college,cat1,45.0,Craft-repair,<=50K
40.0,Private,7th-8th,cat1,40.0,Machine-op-inspct,>50K
37.0,Federal-gov,,cat1,42.0,Adm-clerical,>50K
34.0,Private,HS-grad,cat1,40.0,,<=50K
41.0,Self-emp-not-inc,Bachelors,,40.0,Exec-managerial,<=50K
53.0,?,Bachelors,cat1,50.0,,<=50K
31.0,Private,Masters,cat1,50.0,,<=50K
58.0,State-gov,Doctorate,,1.0,Prof-specialty,>50K
38.0,Private,Some-college,cat1,28.0,Machine-op-inspct,<=50K
24.0,Private,Some-college,cat1,40.0,Machine-op-inspct,<=50K
41.0,Local-gov,Bachelors,cat1,40.0,Craft-repair,<=50K
47.0,Private,Some-college,cat1,45.0,Tech-support,<=50K
41.0,,Bachelors,cat1,,Tech-support,<=50K
23.0,Private,5th-6th,cat1,40.0,Transport-moving,<=50K
36.0,Private,Some-college,cat1,40.0,Craft-repair,<=50K
40.0,Federal-gov,Masters,cat3,55.0,Exec-managerial,>50K
35.0,Private,Masters,cat2,40.0,Prof-specialty,>50K
24.0,Self-emp-not-inc,HS-grad,cat1,40.0,Sales,<=50K
26.0,Private,Masters,cat1,40.0,Prof-specialty,<=50K
19.0,?,HS-grad,,40.0,?,<=50K
51.0,Private,Bachelors,cat1,50.0,Exec-managerial,>50K
42.0,Local-gov,Some-college,cat1,40.0,Prof-specialty,<=50K
37.0,State-gov,,cat1,35.0,Adm-clerical,<=50K
18.0,Private,11th,,40.0,Sales,<=50K
36.0,Private,Bachelors,cat2,36.0,,>50K
35.0,Private,HS-grad,,60.0,Craft-repair,<=50K
58.0,Self-emp-inc,HS-grad,cat4,35.0,Sales,>50K
17.0,Private,11th,cat1,12.0,Sales,<=50K
44.0,,HS-grad,cat1,40.0,Transport-moving,<=50K
37.0,Private,HS-grad,cat1,,Craft-repair,>50K
35.0,,Some-college,cat1,40.0,Sales,<=50K
60.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
54.0,Self-emp-inc,7th-8th,cat1,40.0,Machine-op-inspct,>50K
37.0,Private,Bachelors,cat1,60.0,,>50K
50.0,Private,Assoc-acdm,cat1,40.0,Sales,<=50K
38.0,Private,Bachelors,cat1,50.0,Sales,<=50K
45.0,Private,Bachelors,cat1,55.0,Prof-specialty,<=50K
25.0,Private,10th,cat1,40.0,,<=50K
31.0,Private,Some-college,cat1,40.0,Handlers-cleaners,<=50K
64.0,?,1st-4th,cat1,40.0,?,<=50K
90.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
54.0,Private,HS-grad,cat1,20.0,Adm-clerical,<=50K
53.0,Local-gov,,cat1,35.0,Machine-op-inspct,<=50K
18.0,Private,HS-grad,cat1,40.0,Sales,<=50K
,?,10th,cat1,10.0,?,<=50K
66.0,Self-emp-not-inc,HS-grad,cat2,50.0,Farming-fishing,<=50K
75.0,,Assoc-voc,cat1,20.0,Adm-clerical,<=50K
65.0,,HS-grad,,40.0,Adm-clerical,<=50K
35.0,Private,11th,cat2,40.0,Transport-moving,<=50K
41.0,Private,,cat1,38.0,Sales,<=50K
25.0,,Some-college,cat1,42.0,Adm-clerical,<=50K
33.0,,Some-college,cat1,40.0,Craft-repair,<=50K
28.0,Private,Prof-school,cat1,55.0,Prof-specialty,>50K
59.0,State-gov,HS-grad,,40.0,Other-service,<=50K
40.0,State-gov,Some-college,cat1,38.0,Adm-clerical,<=50K
,Private,Bachelors,cat1,50.0,Exec-managerial,>50K
38.0,Local-gov,Masters,cat1,70.0,Exec-managerial,>50K
23.0,Private,HS-grad,cat1,40.0,Transport-moving,<=50K
,,Bachelors,cat1,40.0,Prof-specialty,>50K
41.0,Self-emp-not-inc,HS-grad,cat1,20.0,Other-service,<=50K
24.0,State-gov,Assoc-acdm,,50.0,Protective-serv,<=50K
20.0,?,Some-college,cat1,20.0,?,<=50K
,Private,Some-college,cat1,40.0,Craft-repair,<=50K
56.0,Private,HS-grad,cat1,35.0,Adm-clerical,<=50K
58.0,Private,HS-grad,cat1,45.0,Adm-clerical,>50K
32.0,Private,HS-grad,cat1,,Other-service,<=50K
40.0,Private,Assoc-acdm,cat1,60.0,Tech-support,>50K
45.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
41.0,Private,Prof-school,,40.0,Prof-specialty,>50K
42.0,Private,Bachelors,cat1,40.0,Adm-clerical,<=50K
59.0,Local-gov,10th,cat1,30.0,Other-service,<=50K
19.0,Local-gov,Some-college,cat1,40.0,Adm-clerical,<=50K
,Private,Some-college,cat1,20.0,Transport-moving,<=50K
42.0,Self-emp-not-inc,HS-grad,,40.0,Farming-fishing,>50K
20.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
32.0,Private,HS-grad,cat1,30.0,Other-service,<=50K
45.0,Private,Assoc-voc,cat1,45.0,Exec-managerial,<=50K
50.0,Private,7th-8th,cat1,,Craft-repair,<=50K
36.0,Private,Bachelors,cat1,40.0,Prof-specialty,<=50K
45.0,Private,HS-grad,cat1,60.0,Sales,<=50K
17.0,,11th,,12.0,Other-service,<=50K
,Private,Some-college,cat2,40.0,Sales,<=50K
26.0,Private,11th,,40.0,Craft-repair,<=50K
37.0,Self-emp-inc,Some-college,cat1,,Exec-managerial,>50K
19.0,?,Some-college,cat1,24.0,?,<=50K
64.0,Private,HS-grad,,,Exec-managerial,>50K
33.0,Private,Bachelors,,45.0,Prof-specialty,<=50K
33.0,Private,HS-grad,cat1,40.0,Craft-repair,>50K
61.0,Private,HS-grad,cat1,40.0,Exec-managerial,>50K
17.0,Private,9th,cat2,24.0,Other-service,<=50K
50.0,Self-emp-not-inc,Masters,cat2,98.0,Farming-fishing,<=50K
27.0,Local-gov,Masters,cat1,35.0,Prof-specialty,<=50K
30.0,Private,HS-grad,cat1,40.0,Prof-specialty,<=50K
43.0,Private,HS-grad,,40.0,Handlers-cleaners,<=50K
44.0,Private,Some-college,,40.0,Craft-repair,>50K
35.0,Private,Some-college,cat1,40.0,Exec-managerial,<=50K
25.0,Private,Some-college,cat1,40.0,Tech-support,<=50K
24.0,Private,Some-college,cat2,48.0,Machine-op-inspct,>50K
22.0,Private,Bachelors,cat1,,,<=50K
42.0,Local-gov,Some-college,cat2,40.0,,>50K
34.0,Private,Assoc-acdm,cat1,45.0,Sales,<=50K
,Private,Bachelors,cat1,42.0,Prof-specialty,<=50K
21.0,Private,HS-grad,cat1,40.0,Handlers-cleaners,<=50K
57.0,Federal-gov,Masters,cat4,40.0,,>50K
41.0,Private,Prof-school,cat1,60.0,Prof-specialty,>50K
50.0,Private,Some-college,cat1,45.0,Other-service,<=50K
25.0,Private,Bachelors,,40.0,Exec-managerial,<=50K
50.0,Private,7th-8th,cat1,40.0,Craft-repair,<=50K
36.0,Private,Bachelors,cat1,45.0,Prof-specialty,<=50K
31.0,Private,HS-grad,cat1,,Prof-specialty,<=50K
29.0,Local-gov,,,56.0,Protective-serv,<=50K
21.0,Private,Some-college,cat1,45.0,Sales,<=50K
27.0,Private,Bachelors,cat1,40.0,Tech-support,<=50K
65.0,Private,HS-grad,cat1,16.0,Transport-moving,<=50K
37.0,Self-emp-inc,Bachelors,cat1,60.0,Sales,<=50K
39.0,?,Masters,,40.0,?,<=50K
24.0,Private,HS-grad,,40.0,Craft-repair,<=50K
38.0,Private,HS-grad,cat1,80.0,Sales,<=50K
48.0,Private,Bachelors,cat2,40.0,Adm-clerical,>50K
21.0,Private,Some-college,cat1,25.0,Other-service,<=50K
31.0,Private,HS-grad,cat1,45.0,,>50K
55.0,Private,HS-grad,cat2,40.0,Sales,>50K
24.0,Private,Some-college,,40.0,Adm-clerical,<=50K
43.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
26.0,Private,Assoc-acdm,cat1,45.0,Tech-support,<=50K
46.0,,,cat1,33.0,Prof-specialty,<=50K
35.0,Private,Assoc-acdm,cat1,40.0,Adm-clerical,>50K
41.0,Self-emp-inc,Some-college,cat1,54.0,Farming-fishing,>50K
26.0,,Bachelors,cat1,40.0,Sales,<=50K
34.0,Private,Masters,cat2,35.0,Exec-managerial,>50K
19.0,,Some-college,cat1,25.0,?,<=50K
36.0,Self-emp-not-inc,Bachelors,cat1,40.0,,>50K
22.0,Private,Some-college,cat1,15.0,Sales,<=50K
24.0,,Some-college,cat1,40.0,Machine-op-inspct,<=50K
77.0,Self-emp-not-inc,Some-college,,40.0,Sales,<=50K
22.0,Private,5th-6th,cat1,40.0,Machine-op-inspct,<=50K
29.0,,Some-college,cat1,40.0,,<=50K
62.0,Private,,cat1,24.0,Other-service,<=50K
39.0,Self-emp-not-inc,,cat1,40.0,Exec-managerial,<=50K
43.0,Private,Some-college,cat1,50.0,Craft-repair,<=50K
35.0,Private,HS-grad,,,Transport-moving,<=50K
,Private,11th,cat1,40.0,Exec-managerial,<=50K
76.0,Self-emp-not-inc,,cat1,10.0,Craft-repair,<=50K
63.0,Self-emp-not-inc,,,45.0,Farming-fishing,<=50K
23.0,?,Assoc-voc,,15.0,?,<=50K
43.0,Private,,cat1,50.0,Prof-specialty,>50K
58.0,Self-emp-not-inc,HS-grad,,40.0,Handlers-cleaners,<=50K
66.0,Private,HS-grad,cat2,55.0,Transport-moving,<=50K
41.0,Private,Some-college,cat1,45.0,Craft-repair,<=50K
26.0,Private,Bachelors,cat1,40.0,Adm-clerical,<=50K
47.0,Private,Assoc-voc,cat1,40.0,Other-service,<=50K
55.0,,10th,cat1,40.0,Adm-clerical,<=50K
53.0,Private,HS-grad,cat1,40.0,Transport-moving,<=50K
17.0,Private,5th-6th,cat1,48.0,Other-service,<=50K
30.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
49.0,Private,Masters,cat1,60.0,Prof-specialty,<=50K
19.0,Private,HS-grad,,30.0,Sales,<=50K
45.0,Private,HS-grad,,40.0,Other-service,<=50K
26.0,Private,Assoc-acdm,cat1,40.0,Sales,<=50K
38.0,Private,Assoc-voc,,40.0,Craft-repair,>50K
36.0,State-gov,HS-grad,cat2,40.0,Protective-serv,>50K
33.0,Private,HS-grad,cat1,20.0,Farming-fishing,<=50K
22.0,State-gov,Some-college,cat1,40.0,Protective-serv,<=50K
43.0,Self-emp-not-inc,Bachelors,cat1,42.0,Sales,<=50K
67.0,?,11th,cat1,8.0,?,<=50K
30.0,?,Assoc-voc,,40.0,?,<=50K
56.0,Private,Assoc-acdm,,25.0,Other-service,<=50K
31.0,Private,Bachelors,cat1,25.0,Prof-specialty,<=50K
33.0,Private,Bachelors,cat1,40.0,Exec-managerial,>50K
26.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
33.0,Private,Bachelors,,40.0,Exec-managerial,>50K
46.0,Local-gov,11th,cat1,30.0,Transport-moving,<=50K
59.0,?,Bachelors,,40.0,?,>50K
38.0,Federal-gov,HS-grad,cat1,40.0,Adm-clerical,>50K
65.0,Private,11th,cat1,40.0,Other-service,<=50K
40.0,Private,Assoc-voc,,40.0,Tech-support,>50K
42.0,Private,HS-grad,cat1,35.0,Adm-clerical,<=50K
26.0,Self-emp-not-inc,9th,cat1,40.0,Craft-repair,<=50K
36.0,Private,10th,cat1,24.0,Other-service,<=50K
62.0,Private,Masters,cat1,40.0,Prof-specialty,>50K
43.0,Private,Bachelors,cat1,45.0,Transport-moving,<=50K
43.0,Private,Bachelors,cat1,45.0,Exec-managerial,>50K
22.0,Private,HS-grad,cat1,55.0,Sales,<=50K
28.0,Private,HS-grad,cat1,40.0,Craft-repair,<=50K
56.0,Self-emp-not-inc,Some-college,cat1,45.0,Sales,<=50K
22.0,Private,Assoc-acdm,cat1,15.0,Sales,<=50K
57.0,Private,,cat1,45.0,,>50K
39.0,Private,HS-grad,cat1,40.0,Sales,<=50K
26.0,Federal-gov,Some-college,cat1,,Adm-clerical,<=50K
17.0,Private,11th,,10.0,Other-service,<=50K
40.0,State-gov,Assoc-voc,cat1,38.0,Machine-op-inspct,>50K
45.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
44.0,Private,HS-grad,,40.0,Craft-repair,<=50K
20.0,Local-gov,Some-college,cat1,10.0,Adm-clerical,<=50K
33.0,Private,HS-grad,,40.0,Craft-repair,<=50K
23.0,Private,Some-college,cat1,40.0,Sales,<=50K
46.0,Self-emp-not-inc,Masters,cat1,30.0,Exec-managerial,<=50K
38.0,Private,HS-grad,cat1,50.0,Sales,<=50K
54.0,Private,HS-grad,,40.0,Transport-moving,<=50K
46.0,Private,5th-6th,cat1,45.0,Craft-repair,<=50K
25.0,Private,Some-college,cat1,40.0,Craft-repair,<=50K
46.0,Private,Some-college,,40.0,Sales,<=50K
36.0,Local-gov,Some-college,cat1,40.0,Transport-moving,<=50K
,Private,HS-grad,cat1,25.0,Other-service,<=50K
29.0,Private,HS-grad,cat1,40.0,Machine-op-inspct,<=50K
44.0,,Some-college,cat1,6.0,Adm-clerical,>50K
19.0,Private,Some-college,cat1,16.0,Adm-clerical,<=50K
19.0,Private,HS-grad,cat1,40.0,Other-service,<=50K
35.0,Private,HS-grad,cat1,40.0,Other-service,>50K
27.0,,Bachelors,cat1,50.0,Craft-repair,<=50K
46.0,Self-emp-not-inc,Assoc-acdm,cat1,40.0,Craft-repair,<=50K
34.0,State-gov,Bachelors,cat2,45.0,Exec-managerial,>50K
34.0,Private,HS-grad,cat1,35.0,Other-service,<=50K
44.0,Private,Some-college,cat1,,Tech-support,<=50K
45.0,Private,Some-college,cat1,40.0,Handlers-cleaners,<=50K
20.0,?,HS-grad,cat1,,?,<=50K
25.0,Private,Bachelors,cat1,55.0,Exec-managerial,>50K
52.0,Self-emp-inc,Bachelors,,50.0,Exec-managerial,>50K
,Private,Some-college,cat1,40.0,Handlers-cleaners,<=50K
28.0,Private,Some-college,cat1,40.0,Other-service,<=50K
50.0,State-gov,Bachelors,cat1,40.0,Protective-serv,>50K
34.0,Private,Assoc-voc,cat1,64.0,Tech-support,<=50K
,Private,7th-8th,,40.0,Handlers-cleaners,<=50K
41.0,Private,Masters,cat1,65.0,Exec-managerial,>50K
28.0,Private,HS-grad,cat1,40.0,Adm-clerical,<=50K
46.0,,HS-grad,,25.0,Craft-repair,<=50K
28.0,?,Some-college,cat1,40.0,,>50K
32.0,Private,Some-college,cat1,50.0,Exec-managerial,<=50K
41.0,Local-gov,Some-college,cat1,24.0,Other-service,<=50K
24.0,Private,HS-grad,,40.0,Handlers-cleaners,<=50K
33.0,Private,Some-college,cat1,40.0,Exec-managerial,<=50K
46.0,Private,Doctorate,cat4,60.0,Exec-managerial,>50K
31.0,State-gov,Some-college,cat1,40.0,Machine-op-inspct,<=50K
35.0,Private,12th,cat1,50.0,Craft-repair,>50K
52.0,Private,1st-4th,cat1,40.0,Machine-op-inspct,<=50K
30.0,Private,11th,cat1,19.0,Other-service,<=50K
34.0,Local-gov,11th,cat1,40.0,Machine-op-inspct,<=50K
34.0,State-gov,HS-grad,cat1,40.0,Transport-moving,<=50K
20.0,Private,Some-college,cat1,30.0,Sales,<=50K
17.0,Private,11th,cat2,18.0,Handlers-cleaners,<=50K
32.0,State-gov,Bachelors,cat1,40.0,Exec-managerial,>50K
29.0,Private,HS-grad,cat1,40.0,Farming-fishing,<=50K
33.0,Private,10th,cat1,35.0,Craft-repair,<=50K
25.0,Private,HS-grad,cat1,60.0,Transport-moving,<=50K
36.0,Federal-gov,Masters,,40.0,Prof-specialty,<=50K
23.0,Private,HS-grad,cat1,72.0,Handlers-cleaners,<=50K
63.0,Self-emp-inc,HS-grad,cat1,40.0,Exec-managerial,>50K
47.0,Local-gov,Masters,cat1,40.0,Prof-specialty,<=50K
80.0,?,HS-grad,,24.0,,<=50K
17.0,?,11th,cat1,40.0,?,<=50K
40.0,Self-emp-not-inc,Bachelors,,40.0,Prof-specialty,<=50K
30.0,Private,Assoc-acdm,cat1,25.0,Other-service,>50K
27.0,Private,Some-college,,40.0,Craft-repair,<=50K
33.0,Private,Masters,cat1,50.0,Prof-specialty,>50K
34.0,Local-gov,HS-grad,,60.0,Farming-fishing,<=50K
34.0,Local-gov,Some-college,,40.0,Protective-serv,<=50K
